Fecha;Localidad;Temperatura
2017-01-11 07:00:00;A Coruña-Cambre;11,0
2017-01-11 07:00:00;A Coruña-Culleredo;11,0
2017-01-11 07:00:00;Albacete-Albacete;4,0
2017-01-11 07:00:00;Albacete-Chinchilla de Monte-Aragón;3,0
2017-01-11 07:00:00;Badajoz-Badajoz;5,0
2017-01-11 07:00:00;Badajoz-Pueblonuevo del Guadiana;5,0
2017-01-11 07:00:00;Badajoz-Talavera la Real;5,0
2017-01-11 07:00:00;Barcelona-Sant Climent de Llobregat;4,0
2017-01-11 07:00:00;Barcelona-Viladecans;4,0
2017-01-11 07:00:00;Cantabria-Camargo;11,0
2017-01-11 07:00:00;Cantabria-Santa Cruz de Bezana;11,0
2017-01-11 07:00:00;Córdoba-Córdoba;4,0
2017-01-11 07:00:00;Córdoba-Palma del Río;3,0
2017-01-11 07:00:00;Madrid-Alcobendas;6,0
2017-01-11 07:00:00;Madrid-Coslada;5,0
2017-01-11 07:00:00;Madrid-Madrid;8,0
2017-01-11 07:00:00;Madrid-Torrejón de Ardoz;5,0
2017-01-11 07:00:00;Málaga-Alhaurín de la Torre;11,0
2017-01-11 07:00:00;Málaga-Cártama;11,0
2017-01-11 07:00:00;Málaga-Málaga;12,0
2017-01-11 07:00:00;València/Valencia-Aldaia;6,0
2017-01-11 07:00:00;València/Valencia-Manises;6,0
2017-01-11 07:00:00;València/Valencia-Paterna;7,0
2017-01-11 07:00:00;València/Valencia-Quart de Poblet;6,0
2017-01-11 07:00:00;Valladolid-Arroyo de la Encomienda;5,0
2017-01-11 07:00:00;Valladolid-Cistérniga;4,0
2017-01-11 07:00:00;Valladolid-Valladolid;5,0
2017-01-11 07:00:00;Valladolid-Zaratán;4,0
2017-01-11 07:00:00;Zaragoza-Zaragoza;8,0
2017-01-11 08:00:00;A Coruña-Cambre;11,0
2017-01-11 08:00:00;A Coruña-Culleredo;11,0
2017-01-11 08:00:00;Albacete-Albacete;4,0
2017-01-11 08:00:00;Albacete-Chinchilla de Monte-Aragón;4,0
2017-01-11 08:00:00;Badajoz-Badajoz;6,0
2017-01-11 08:00:00;Badajoz-Pueblonuevo del Guadiana;6,0
2017-01-11 08:00:00;Badajoz-Talavera la Real;6,0
2017-01-11 08:00:00;Barcelona-Sant Climent de Llobregat;5,0
2017-01-11 08:00:00;Barcelona-Viladecans;5,0
2017-01-11 08:00:00;Cantabria-Camargo;11,0
2017-01-11 08:00:00;Cantabria-Santa Cruz de Bezana;11,0
2017-01-11 08:00:00;Córdoba-Córdoba;6,0
2017-01-11 08:00:00;Córdoba-Palma del Río;5,0
2017-01-11 08:00:00;Madrid-Alcobendas;6,0
2017-01-11 08:00:00;Madrid-Coslada;6,0
2017-01-11 08:00:00;Madrid-Madrid;8,0
2017-01-11 08:00:00;Madrid-Torrejón de Ardoz;6,0
2017-01-11 08:00:00;Málaga-Alhaurín de la Torre;12,0
2017-01-11 08:00:00;Málaga-Cártama;11,0
2017-01-11 08:00:00;Málaga-Málaga;13,0
2017-01-11 08:00:00;València/Valencia-Aldaia;7,0
2017-01-11 08:00:00;València/Valencia-Manises;7,0
2017-01-11 08:00:00;València/Valencia-Paterna;8,0
2017-01-11 08:00:00;València/Valencia-Quart de Poblet;7,0
2017-01-11 08:00:00;Valladolid-Arroyo de la Encomienda;5,0
2017-01-11 08:00:00;Valladolid-Cistérniga;4,0
2017-01-11 08:00:00;Valladolid-Valladolid;5,0
