,Provincia,Fecha,Temperatura,Comunidad,Zona
0,Albacete,2017-01-11 07:00:00,3.5,Castilla la Mancha,Centro
1,Albacete,2017-01-11 08:00:00,4.0,Castilla la Mancha,Centro
2,Albacete,2017-01-11 09:00:00,4.5,Castilla la Mancha,Centro
3,Albacete,2017-01-11 10:00:00,5.5,Castilla la Mancha,Centro
4,Albacete,2017-01-11 11:00:00,7.0,Castilla la Mancha,Centro
5,Albacete,2017-01-11 12:00:00,8.5,Castilla la Mancha,Centro
6,Albacete,2017-01-11 13:00:00,8.5,Castilla la Mancha,Centro
7,Albacete,2017-01-11 14:00:00,9.5,Castilla la Mancha,Centro
8,Albacete,2017-01-11 15:00:00,9.5,Castilla la Mancha,Centro
9,Albacete,2017-01-11 16:00:00,9.0,Castilla la Mancha,Centro
10,Albacete,2017-01-11 17:00:00,9.0,Castilla la Mancha,Centro
11,Albacete,2017-01-11 18:00:00,8.5,Castilla la Mancha,Centro
12,Albacete,2017-01-11 19:00:00,8.0,Castilla la Mancha,Centro
13,Albacete,2017-01-11 20:00:00,8.0,Castilla la Mancha,Centro
14,Albacete,2017-01-11 21:00:00,7.0,Castilla la Mancha,Centro
15,Albacete,2017-01-11 22:00:00,6.5,Castilla la Mancha,Centro
16,Albacete,2017-01-11 23:00:00,5.5,Castilla la Mancha,Centro
17,Albacete,2017-01-12 00:00:00,4.5,Castilla la Mancha,Centro
18,Albacete,2017-01-12 01:00:00,5.0,Castilla la Mancha,Centro
19,Albacete,2017-01-12 02:00:00,4.0,Castilla la Mancha,Centro
20,Albacete,2017-01-12 03:00:00,3.0,Castilla la Mancha,Centro
21,Albacete,2017-01-12 04:00:00,2.0,Castilla la Mancha,Centro
22,Albacete,2017-01-12 05:00:00,1.5,Castilla la Mancha,Centro
23,Albacete,2017-01-12 06:00:00,2.5,Castilla la Mancha,Centro
24,Albacete,2017-01-12 07:00:00,2.5,Castilla la Mancha,Centro
25,Albacete,2017-01-12 08:00:00,3.5,Castilla la Mancha,Centro
26,Albacete,2017-01-12 09:00:00,5.0,Castilla la Mancha,Centro
27,Albacete,2017-01-12 10:00:00,7.5,Castilla la Mancha,Centro
28,Albacete,2017-01-12 11:00:00,10.5,Castilla la Mancha,Centro
29,Albacete,2017-01-12 12:00:00,13.0,Castilla la Mancha,Centro
30,Albacete,2017-01-12 13:00:00,14.0,Castilla la Mancha,Centro
31,Albacete,2017-01-12 14:00:00,15.0,Castilla la Mancha,Centro
32,Albacete,2017-01-12 15:00:00,15.5,Castilla la Mancha,Centro
33,Albacete,2017-01-12 16:00:00,14.0,Castilla la Mancha,Centro
34,Albacete,2017-01-12 17:00:00,12.5,Castilla la Mancha,Centro
35,Albacete,2017-01-12 18:00:00,10.5,Castilla la Mancha,Centro
36,Albacete,2017-01-12 19:00:00,10.5,Castilla la Mancha,Centro
37,Albacete,2017-01-12 20:00:00,10.0,Castilla la Mancha,Centro
38,Albacete,2017-01-12 21:00:00,9.0,Castilla la Mancha,Centro
39,Albacete,2017-01-12 22:00:00,9.0,Castilla la Mancha,Centro
40,Albacete,2017-01-12 23:00:00,8.5,Castilla la Mancha,Centro
41,Albacete,2017-01-13 00:00:00,8.0,Castilla la Mancha,Centro
42,Albacete,2017-01-13 01:00:00,7.5,Castilla la Mancha,Centro
43,Albacete,2017-01-13 02:00:00,7.5,Castilla la Mancha,Centro
44,Albacete,2017-01-13 03:00:00,7.5,Castilla la Mancha,Centro
45,Albacete,2017-01-13 04:00:00,7.5,Castilla la Mancha,Centro
46,Albacete,2017-01-13 05:00:00,7.5,Castilla la Mancha,Centro
