,datetime,Zona,Tarifa,Active
0,2018-01-01 01:00:00,Centro,2A,7.401000000000002
1,2018-01-01 02:00:00,Centro,2A,7.510000000000002
2,2018-01-01 03:00:00,Centro,2A,6.9510000000000005
3,2018-01-01 04:00:00,Centro,2A,5.876
4,2018-01-01 05:00:00,Centro,2A,6.667000000000001
5,2018-01-01 06:00:00,Centro,2A,4.56
6,2018-01-01 07:00:00,Centro,2A,4.7090000000000005
7,2018-01-01 08:00:00,Centro,2A,5.225
8,2018-01-01 09:00:00,Centro,2A,4.1850000000000005
9,2018-01-01 10:00:00,Centro,2A,8.045
10,2018-01-01 11:00:00,Centro,2A,5.82
11,2018-01-01 12:00:00,Centro,2A,8.299000000000001
12,2018-01-01 13:00:00,Centro,2A,7.692
13,2018-01-01 14:00:00,Centro,2A,9.679
14,2018-01-01 15:00:00,Centro,2A,6.8599999999999985
15,2018-01-01 16:00:00,Centro,2A,9.942
16,2018-01-01 17:00:00,Centro,2A,8.797
17,2018-01-01 18:00:00,Centro,2A,8.376
18,2018-01-01 19:00:00,Centro,2A,7.273
19,2018-01-01 20:00:00,Centro,2A,10.325999999999999
20,2018-01-01 21:00:00,Centro,2A,9.704
21,2018-01-01 22:00:00,Centro,2A,8.288
22,2018-01-01 23:00:00,Centro,2A,7.846999999999999
23,2018-01-02 00:00:00,Centro,2A,8.732000000000001
24,2018-01-02 01:00:00,Centro,2A,7.162999999999999
25,2018-01-02 02:00:00,Centro,2A,5.1320000000000014
26,2018-01-02 03:00:00,Centro,2A,4.859
27,2018-01-02 04:00:00,Centro,2A,5.556
28,2018-01-02 05:00:00,Centro,2A,7.2189999999999985
29,2018-01-02 06:00:00,Centro,2A,14.772
30,2018-01-02 07:00:00,Centro,2A,18.3
31,2018-01-02 08:00:00,Centro,2A,21.116
32,2018-01-02 09:00:00,Centro,2A,20.623
33,2018-01-02 10:00:00,Centro,2A,18.465
34,2018-01-02 11:00:00,Centro,2A,24.124
35,2018-01-02 12:00:00,Centro,2A,22.811
36,2018-01-02 13:00:00,Centro,2A,26.916999999999998
37,2018-01-02 14:00:00,Centro,2A,20.984
38,2018-01-02 15:00:00,Centro,2A,21.965000000000003
39,2018-01-02 16:00:00,Centro,2A,25.024
40,2018-01-02 17:00:00,Centro,2A,23.673000000000002
41,2018-01-02 18:00:00,Centro,2A,20.624
42,2018-01-02 19:00:00,Centro,2A,15.722000000000001
43,2018-01-02 20:00:00,Centro,2A,12.543
44,2018-01-02 21:00:00,Centro,2A,13.097000000000001
45,2018-01-02 22:00:00,Centro,2A,12.885
46,2018-01-02 23:00:00,Centro,2A,9.605
47,2018-01-03 00:00:00,Centro,2A,9.338
48,2018-01-03 01:00:00,Centro,2A,10.853
49,2018-01-03 02:00:00,Centro,2A,10.434000000000001
50,2018-01-03 03:00:00,Centro,2A,9.415
51,2018-01-03 04:00:00,Centro,2A,8.663
52,2018-01-03 05:00:00,Centro,2A,10.79
53,2018-01-03 06:00:00,Centro,2A,17.723
54,2018-01-03 07:00:00,Centro,2A,18.357
55,2018-01-03 08:00:00,Centro,2A,22.858
56,2018-01-03 09:00:00,Centro,2A,23.31
57,2018-01-03 10:00:00,Centro,2A,23.857
58,2018-01-03 11:00:00,Centro,2A,24.614
59,2018-01-03 12:00:00,Centro,2A,27.16
60,2018-01-03 13:00:00,Centro,2A,22.391
61,2018-01-03 14:00:00,Centro,2A,21.273000000000003
62,2018-01-03 15:00:00,Centro,2A,18.730000000000004
63,2018-01-03 16:00:00,Centro,2A,18.828
64,2018-01-03 17:00:00,Centro,2A,16.123
65,2018-01-03 18:00:00,Centro,2A,15.007
66,2018-01-03 19:00:00,Centro,2A,15.361
67,2018-01-03 20:00:00,Centro,2A,13.082
68,2018-01-03 21:00:00,Centro,2A,11.885
69,2018-01-03 22:00:00,Centro,2A,10.840000000000002
70,2018-01-03 23:00:00,Centro,2A,8.988999999999999
71,2018-01-04 00:00:00,Centro,2A,7.971999999999999
72,2018-01-04 01:00:00,Centro,2A,7.422000000000001
73,2018-01-04 02:00:00,Centro,2A,7.114000000000001
74,2018-01-04 03:00:00,Centro,2A,8.219999999999999
75,2018-01-04 04:00:00,Centro,2A,6.864
